cluster,selected_feature,annotation_result,annotation_warning,cluster.size,source,Alignment.ID,Average.Rt.min.,Average.Mz,Adduct.type,level,Formula,Structure,Total.score,Final.score,Title,MS1.count,MSMS.count,PRECURSORMZ,PRECURSORTYPE,Theoretical.mass,Mass.error,Formula.score,Ontology,InChIKey,SMILES,Links,Chow..1,Chow..2,Chow..3,Chow..4,Chow..5,Chow..6,Chow..7,Chow..8,Chow..9,Chow..10,Chow..11,Chow..12,Chow..13,Chow..14,Chow..15,Chow..16,Chow..17,Chow..18,Chow..19,Chow..20,Chow..21,Blank.1,Blank.2,Blank.3,High.Fat..1,High.Fat..2,High.Fat..3,High.Fat..4,High.Fat..5,High.Fat..6,High.Fat..7,High.Fat..8,High.Fat..9,High.Fat..10,High.Fat..11,High.Fat..12,High.Fat..13,High.Fat..14,High.Fat..15,High.Fat..16,High.Fat..17,High.Fat..18,QC.1,QC.2,QC.3,QC.4,QC.5,QC.6,QC.7,MS.MS.spectrum
11,neg_10213,Unknown compound,,6,neg,10213,19.542,782.68817,[M+FA-H]-,,,,,,,,,,,,,,,,,,6e-4,2e-4,6e-4,1e-4,9e-4,0,0.0025,0.0026,0.0017,0.0041,0.0039,0.0051,0.0043,0.0023,0.0021,0.0023,0.0035,0.0021,0.0049,8e-4,0.0017,0,0.1109,0.0495,0.0444,0.0491,0.0443,0.0625,0.0351,0.0631,0.0703,0.0696,0.0723,0.0533,0.0501,0.0457,0.0806,0.0765,0.0712,0.0821,0.103,0.0908,0.0189,0.0196,0.0197,0.0193,0.0182,0.0161,0.0193,73.62848:17 107.7699:23 132.57166:58 133.12738:20 147.22935:41 148.15813:55 172.70503:40 186.27887:19 194.84077:22 202.03729:11 204.78798:39 225.73979:13 242.76894:67 259.38327:31 325.58853:10 363.09119:21 384.36127:15 387.2767:54 492.84888:27 512.04138:266 512.12567:11 570.94067:26 626.32849:50 668.92859:16 706.57477:60 723.02747:36 734.77649:44 736.68268:119 736.86627:11 737.60571:24 782.6886:205 782.77704:12 782.87543:34
12,neg_10020,Unknown compound,,1,neg,10020,19.142,774.67291,[M-H]-,,,,,,,,,,,,,,,,,,0.0032,0.0023,0.0026,0.0023,0.0022,0.0026,0.0022,0.0012,0,0,0,0,7e-4,0,0,0.0023,0.0025,0.0025,0.0019,0.0019,0.0025,0.0051,0,0.0246,0.0511,0.0477,0.0433,0.008,0.0018,0.0083,0.0024,0.0048,0.0029,0.0211,0.019,0.0153,0.0331,0.0344,0.0333,0.0359,0.0352,0.0388,0.0078,0.0044,0.0078,0.0045,0.0061,0.0069,0.009,52.76221:15 68.09382:14 94.23515:43 102.52982:16 133.74686:31 164.60182:14 183.48946:29 215.48628:28 219.81032:55 219.82706:14 221.23225:38 232.9137:13 253.53345:12 338.34766:25 402.79004:24 469.51294:28 545.00519:13 559.3028:19 559.85748:28 576.10107:24 596.21924:46 683.33301:36 691.51617:13 726.59058:110 727.17224:70 736.50671:40 742.6283:78 759.43304:16 769.76239:10 774.53577:23 774.58698:39 774.67487:347 774.74872:59
13,neg_9627,Simple ID,Other possible annotated peaks for this cluster.,2,neg,9627,9.773,759.51831,[M-H]-,generic,C41H77O10P,"PG(17:0/18:2(9Z,12Z))",5.3958,5.3958,PG 35:2|PG 17:1_18:1,3,21,759.5183,[M-H]-,760.525435294,-0.0001412,3.166,Phosphatidylglycerols,ACCMTWPZHHWOQK-JWWWTRAANA-N,O=C(OCC(OC(=O)CCCCCCCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO)CCCCCCCCCCCCCCCC,LipidMAPS=LMGP04010233,0.251,0.2588,0.2474,0.1717,0.1722,0.177,0.1153,0.1119,0.123,0.1594,0.149,0.151,0.2125,0.1972,0.2073,0.3145,0.2355,0.3598,0.2687,0.3112,0.3151,0.0349,0.0834,0.0346,0.0295,0.0357,0.0349,0.0783,0.0778,0.0778,0.0368,0.0353,0.04,0.033,0.0266,0.0313,0.0246,0.0234,0.0198,0.0287,0.0266,0.0182,0.195,0.1863,0.1918,0.1911,0.1907,0.1798,0.1809,59.061:24 66.94578:15 216.60187:22 220.37923:66 225.06172:16 253.2128:52 265.62906:44 267.23386:805 267.50089:18 268.2406:52 281.24753:372 282.01993:19 282.25006:102 410.45142:45 495.27545:39 509.28757:15 575.46606:15 586.30774:40 665.65198:53 679.59631:32 759.52075:29
14,neg_10023,Unknown compound,,1,neg,10023,9.511,775.51373,[M-H]-,,,,,,,,,,,,,,,,,,0.1227,0.1261,0.1204,0.0803,0.08,0.0786,0.0555,0.0533,0.0511,0.0297,0.0323,0.0405,0.1388,0.134,0.1478,0.1364,0.1359,0.1425,0.1594,0.1559,0.1533,0,0.0104,0.0281,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.0626,0.0672,0.0665,0.0631,0.0626,0.0626,50.04244:162 68.77071:27 73.03017:174 73.05101:11 102.94752:20 212.29619:102 241.21396:17 355.2724:49 417.11795:45 431.27155:98 560.75549:11 603.31183:96 667.41888:24 702.66614:52 730.55737:30 744.841:102 762.19562:20 770.32111:10 775.43512:75 775.51282:947 775.69714:27 775.9295:32 775.97681:39
15,neg_9979,Simple ID,,2,neg,9979,10.691,773.53424,[M-H]-,generic,C42H79O10P,PG(18:1(9Z)/18:1(9Z)),5.0221,5.0221,PG 36:2|PG 18:1_18:1,3,33,773.5342,[M-H]-,774.541085358,-0.0003911,2.646,Phosphatidylglycerols,DSNRWDQKZIEDDB-SQYFZQSCSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO)CCCCCCCC=CCCCCCCCC,"HMDB=HMDB0010634,ChEBI=CHEBI:75163;CHEBI:60426;CHEBI:75385;CHEBI:84525,YMDB=YMDB01214,FooDB=FDB027784,BMDB=BMDB10634,LipidMAPS=LMGP04010033;LMGP04010985,Serum=HMDB0010634,BLEXP=BLEXPDB00000119120,COCONUT=CNP0082435",4.7537,4.2947,4.1282,2.982,2.9972,2.9399,2.5868,2.672,2.4023,1.6145,1.8334,1.8249,4.6564,4.2365,4.706,3.1926,4.4298,3.2265,10.4271,4.8682,4.7659,0.1628,0.1493,0.1574,0.25,0.2531,0.2723,0.3833,0.3386,0.305,0.2787,0.2735,0.266,0.1802,0.1958,0.1986,0.1819,0.1824,0.1788,0.1124,0.1186,0.1145,3.4688,3.2811,3.4655,2.8757,3.2389,3.1533,3.3545,51.18924:54 73.08954:16 112.56699:17 112.72559:32 114.98913:35 175.25508:47 187.06628:18 247.18819:27 263.67184:22 268.98648:18 281.24619:196 290.56821:61 335.69617:14 370.82788:54 509.29474:15 555.1806:52 562.41296:32 620.67847:18 627.4682:10 629.34174:77 700.05255:52 714.5083:50 715.97333:126 716.04669:12 726.47125:21 738.59497:67 738.6228:18 773.41443:23 773.53265:530 773.60834:28 773.66583:22 773.71405:33 773.99445:21
16,pos_10263,Double ID,Other possible annotated peaks for this cluster.,8,pos,10263,13.037,683.54602,[M+H-H2O]+,generic,C39H77N2O6P,N-(9Z-hexadecenoyl)sphingosine-1-phosphocholine,6.1672,6.1672,DG 39:3,3,1,683.546,[M+H-H2O]+,700.551924814,0.0026366,2.927,Phosphosphingolipids,OAHFTKWSJGVMTG-HUGYQIKPNA-N,O=C(NC(COP(=O)([O-])OCC[N+](C)(C)C)C(O)C=CCCCCCCCCCCCCC)CCCCCCCC=CCCCCCC,"ChEBI=CHEBI:64487,LipidMAPS=LMSP03010041,COCONUT=CNP0312465",0.0344,0.0244,0.0367,0.0352,0.035,0.0369,0.0045,0.0033,0.0034,0.0044,0.0068,0.0057,0.007,0.0045,0.0107,0.0956,0.0991,0.1006,0.043,0.0174,0.024,0,1e-4,8e-4,0.0057,0.0068,0.0033,0.0014,0.001,0,0,0.0019,0,0.0011,0.0021,0.0025,0.0045,0.0082,0.0072,0.0171,0.0146,0.0157,0.0178,0.0197,0.0178,0.0209,0.0194,0.0205,0.0217,683.54816:217
17,neg_10028,Simple ID,,1,neg,10028,11.407,775.54974,[M+HCOO]-,generic,C41H79O8P,PA(20:0/18:1(9Z)),5.1773,5.1773,MGDG 32:0|MGDG 16:0_16:0,3,15,775.5497,[M+HCOO]-,730.551256118,-0.0002413,2.522,"1,2-diacylglycerol-3-phosphates",CHEVROLFHYXCIJ-PIIKPTFNSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)O)CCCCCCCCCCCCCCCCCCC,"HMDB=HMDB0115069,ChEBI=CHEBI:74584;CHEBI:74942,LipidMAPS=LMGP10010953",0.3312,0.1799,0.3393,0.5055,0.4596,0.4785,0.027,0.0252,0.026,0.0193,0.0254,0.022,0.049,0.0487,0.0487,0.9988,0.7358,1.0667,0.5776,1.0525,1.1017,0.0161,0.0175,0.0743,0.0526,0.0745,0.084,0.0242,0.0224,0.0424,0.0019,0.0016,0.0016,0.0132,0.0372,0.0201,0.0533,0.0468,0.0371,0.0401,0.0579,0.0731,0.2069,0.24,0.255,0.2793,0.2982,0.3005,0.3116,181.48608:41 241.21596:240 255.23091:265 437.29797:91 493.34259:17 495.57178:31 523.30695:113 621.81342:16 716.50726:21 729.49017:81 734.5611:13 739.37781:10 770.31476:27 770.44427:48 775.54858:1523
18,pos_12372,Double ID,Other possible annotated peaks for this cluster.,19,pos,12372,13.995,744.5921,[M+H]+,generic,C42H82NO7P,PC(P-16:0/18:1(9Z)),6.4305,6.4305,PC O-34:2|PC O-16:1_18:1,3,5,744.5921,[M+H]+,743.582890594,-0.001933,3.137,"1-(1Z-alkenyl),2-acyl-glycerophosphocholines",CRBBMHQTIAELIS-KQBBALDBSA-N,O=C(OC(COC=CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCC=CCCCCCCCC,"HMDB=HMDB0011210,ChEBI=CHEBI:86232,YMDB=YMDB02222,FooDB=FDB027965,BMDB=BMDB11210,LipidMAPS=LMGP01030006,Urine=HMDB0011210,Saliva=HMDB0011210,Serum=HMDB0011210,BLEXP=BLEXPDB00024779384,COCONUT=CNP0002030",0.5124,0.5354,0.566,0.5002,0.4987,0.4673,0.841,0.8334,0.8339,1.0755,0.8139,1.0469,1.0542,1.0666,1.0527,0.1629,0.1243,0.1837,0.2999,0.3699,0.3907,0.0154,0.0244,0.033,0.1556,0.143,0.1566,0.8064,0.7943,0.7986,1.0444,1.0611,1.0622,0.5994,0.6103,0.572,0.1661,0.1502,0.1769,0.0163,0.0438,0.0345,0.635,0.6366,0.6813,0.642,0.7671,0.7239,0.7429,184.07263:1620 185.97968:21 480.34137:34 744.59161:201 744.97729:19
19,pos_12681,Double ID,,14,pos,12681,14.045,754.57489,[M+H]+,generic,C43H80NO7P,"PE(P-18:0/20:3(8Z,11Z,14Z))",6.6411,6.6411,PE P-38:3|PE P-18:0_20:3,3,11,754.5749,[M+H]+,753.56724053,-0.000383,3.633,"1-(1Z-alkenyl),2-acylglycerophosphoethanolamines",AFHNYJFSTNQXTK-MTROFRMRSA-N,O=C(OC(COC=CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN)CCCCCCC=CCC=CCC=CCCCCC,"HMDB=HMDB0011384,ChEBI=CHEBI:90484,FooDB=FDB028117,BMDB=BMDB11384,LipidMAPS=LMGP02030055,COCONUT=CNP0082207",0.0549,0.053900000000000003,0.0526,0.1109,0.1128,0.1055,0.1894,0.195,0.1914,0.2274,0.18,0.2273,0.1784,0.1764,0.1785,0.0351,0.0164,0.0326,0.0613,0.0633,0.0666,0.0098,0.0018,1e-4,0.0674,0.0651,0.0704,0.2517,0.2525,0.2535,0.3119,0.3259,0.3236,0.2368,0.2194,0.2341,0.0287,0.0352,0.0408,0.0069,0.0118,0.0028,0.1427,0.1428,0.1411,0.14,0.1402,0.1386,0.1423,95.08523:125 121.35593:12 294.3161:12 309.31293:16 363.28882:203 364.25653:27 391.32095:307 391.37656:18 392.2886:74 608.54309:10 613.56207:121
20,neg_10034,Simple ID,Other possible annotated peaks for this cluster.,4,neg,10034,13.191,775.5578,[M+HCOO]-,generic,C41H78O10,"1-O-beta-D-Glucopyranosyl-2,3-di-O-palmitoylglycerol",4.8937,4.8937,MGDG 32:0|MGDG 16:0_16:0,3,31,775.5578,[M+HCOO]-,730.559498696,-9.87e-05,2.716,Glycosyldiacylglycerols,DFUALJIUMYYHRG-UHFFFAOYNA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCCCC)COC1OC(CO)C(O)C(O)C1O)CCCCCCCCCCCCCCC,"HMDB=HMDB0031680,ChEBI=CHEBI:63752;CHEBI:63762;CHEBI:63774,FooDB=FDB008340,UNPD=UNPD151008;UNPD198974;UNPD29589;UNPD42554,COCONUT=CNP0145885",1.0388,1.0043,1.0696,0.765,0.7568,0.7607,0.0802,0.0868,0.0743,0.1026,0.1334,0.0914,0.128,0.1216,0.1313,1.4937,1.4404,1.465,2.4439,2.4749,2.5055,0,0.1232,0.0457,0.0881,0.0941,0.0863,0.1304,0.2764,0.1233,0.1959,0.1955,0.1828,0.096,0.1151,0.1232,0.1569,0.1541,0.15310000000000001,0.1201,0.1295,0.1235,0.4298,0.4276,0.4288,0.4278,0.4334,0.4145,0.4347,149.60074:75 149.61957:14 213.44749:14 213.72121:22 227.20409:190 227.26363:12 227.38638:24 241.21385:66 253.09802:81 255.2319:885 255.86122:113 256.25934:41 283.26654:483 283.31192:22 284.35272:15 311.29059:71 466.32758:109 491.31989:188 519.35687:153 724.91565:11 729.48413:62 729.55334:376 729.836:22 730.034:30 730.48102:21 730.51935:30 730.98096:30 770.25873:39 775.55341:150 775.81244:17 775.94098:10
