Sample,CZ.1,CZ.2,CZ.3,CL1.1,CL1.2,CL1.3
pos_1103_3-(1-Hydroxymethyl-1-propenyl)pentanedioic acid,0.0901,0.0844,0.0636,0.1221,0.1888,0.0922
neg_10152_Elloramycin D,0.0105,0.0505,0.0173,0.0038,0.0046,0.0049
neg_8738_Fisetinidol-(4alpha->6')-peltogynan-4alpha-ol,0.0071,0.0084,0.0154,0.0113,0.0072,0.0083
"neg_5266_[(1S,2aR,8bR)-2-(cyclopentylmethyl)-1-(hydroxymethyl)-1,2a,3,8b-tetrahydroazeto[2,3-c]quinolin-4-yl]-(2-pyrazinyl)methanone",0.0955,0.0218,0.0457,0.161,0.3715,0.1323
neg_5268_Phenylethyl primeveroside,3.4876,3.281,2.8731,0.1039,0.1102,0.1128
pos_3172_Caiophoraenin;(+)-Caiophoraenin,0.0021,0.0012,0.0016,0.0058,0.0011,0.0024
"neg_10163_N-(5-acetamido-2-methoxyphenyl)-2-({10-acetamido-3,4,5-trimethoxy-13-oxotricyclo[9.5.0.0?,?]hexadeca-1(16),2(7),3,5,11,14-hexaen-14-yl}amino)-3-methylbutanamide",0.0144,0.0122,0.0035,0.1571,0.0862,0.109
neg_3307_N-Jasmonoylisoleucine,2.6343,2.9537,1.3025,0.0497,0.0917,0.0544
neg_10985_,0.1265,0.1882,0.2513,0.0976,0.0681,0.0572
pos_2383_Solavetivone,0.3573,0.4003,0.2243,9.3467,12.0656,9.4264
neg_10191_Itoside B;(-)-Itoside B,0.004,0.0076,0.0208,0.0068,0.0112,0.006
neg_3427_Corchorifatty acid F,1.5032,1.3556,1.7461,0.8611,1.0076,0.7342
pos_16908_Khayanoside,0.0048,8.00E-04,0.0033,0.0179,0.0208,0.0074
neg_10205_Gnidilatidin,0.0089,0.0087,0.0071,0.0638,0.0513,0.0457
"neg_10206_N-{4H,5H,6H,7H,8H-cyclohepta[d][1,3]thiazol-2-yl}-6-({10-acetamido-3,4,5-trimethoxy-13-oxotricyclo[9.5.0.0?,?]hexadeca-1(16),2(7),3,5,11,14-hexaen-14-yl}amino)hexanamide",1.1043,0.5497,0.5632,0.0181,0.0192,0.0212
neg_10207_UNPD75530,0.4986,0.8303,0.2975,0.0077,0.0121,0.0078
neg_10209_UNPD63370,0.0043,0,0,0.077,0.0552,0.0777
neg_1021_,0.0661,0.0651,0.0591,0.0356,0.0459,0.0616
neg_10646_Irlbacholine,0.1731,0.2461,0.1875,1.6563,0.943,1.106
neg_10213_Karaviloside I;Karavilagenin A 3-glucoside;(+)-Karavilagenin A 3-glucoside,1.1599,2.3791,3.8905,1.0156,0.713,0.6854
neg_3479_FA 18:1+3O,15.9749,13.3665,20.8144,6.8195,5.3217,5.3276
neg_9012_pipacycline,0.0077,0.0065,0.0319,0.3244,0.345,0.1918
neg_2963_(E)-1-O-Cinnamoyl-beta-D-glucose,0.0503,0.03,0.0117,0.1156,0.0327,0.0492
neg_2616_Glutamylphenylalanine,0.1761,0.1844,0.2136,0.1947,0.0973,0.1306
pos_16089_Forskoditerpenoside B;(+)-Forskoditerpenoside B,0.0083,0.0015,0.0079,0.0254,0.0469,0.0199
neg_1216_3-Hydroxysebacic acid,1.1614,1.5873,0.7011,0.4956,0.331,0.552
pos_7032_Kievitone,1.8294,1.8252,0.6491,0.5288,0.5831,0.5564
pos_10257_Taccagenin,0.319,0.2111,0.2124,2.0103,1.2618,1.3295
neg_2979_FA 18:3+2O; PlaSMA ID-638,5.2625,3.9713,4.2037,2.1629,2.8623,2.0241
neg_589_3-(2-Hydroxyphenyl)propanoic acid,0.0079,0.0115,0.0041,0.0064,0.0053,0.0088
"neg_10278_DG(16:1(9Z)/20:4(8Z,11Z,14Z,17Z)/0:0)",2.8666,1.9145,2.0414,0.8263,0.0842,0.8536
neg_9651_UNPD163293,0.0049,0.0155,0.0246,0.0032,0.0054,0
neg_1334_Tuberonic acid,0.1833,0.0539,0.1324,0.0871,0.0523,0.0741
pos_17079_Eruberin C,0.04,0.056,0.024,1.1952,2.2326,1.0143
neg_813_Jioglutolide,0.3728,0.8206,0.3488,0.1989,0.2288,1.118
neg_10303_Minosaminomycin,0.1378,0.2661,0.3325,0.2476,0.2184,0.1626
neg_2677_9-HODE,41.76,26.6637,18.53,11.5453,14.5225,9.0096
pos_16660_Filipin III,0.0055,0.0186,0.0158,0.1363,0.0203,0.1066
pos_12426_Phloroacetophenone 6'-[xylosyl-(1->6)-glucoside],0.0766,0.1493,0.3533,0.0095,0.0086,0.0039
"pos_11311_N-(6-{5-[4-(1H-1,2,4-triazol-1-yl)phenoxy]-1H-1,2,3,4-tetrazol-1-yl}-hexahydrofuro[3,2-b]furan-3-yl)benzamide",0.1087,0.0273,0.0439,0.4168,0.2067,0.404
"neg_10972_4-({10-acetamido-3,4,5-trimethoxy-13-oxotricyclo[9.5.0.0?,?]hexadeca-1(16),2(7),3,5,11,14-hexaen-14-yl}amino)-N-{[3-(4-methyl-1,3-thiazol-2-yl)phenyl]methyl}butanamide",0.0172,0.0187,0.0378,0.0601,0.139,0.0251
pos_17126_3-O-(2-O-(2E-decenoyl)-alpha-L-rhamnopyranosyl)-3-hydroxydecanoic acid,0.1752,0.1316,0.1632,1.3874,0.8964,1.437
pos_16258_UNPD209833,0.0653,0.0659,0.0715,0.1342,0.1016,0.1516
neg_1034_Anofinic acid,0.0268,0.0326,0.0175,0.0302,0.0162,0.0311
pos_10210_Furcatin,14.0182,14.1012,10.4934,0.6273,0.7136,0.6338
neg_1677_Coriandrone E,0.4353,0.1644,0.2028,0.0779,0.0329,0.077
pos_16272_Suffruticoside E,0.0063,0.0086,0.007,0.0051,0.0046,0.0043
neg_10357_Saframycin R,0.0101,0.0095,0.0062,0.0341,0.0578,0.0208
"pos_5539_4-[(E)-2-(3,5-dimethoxyphenyl)ethenyl]phenol",0.0323,0.019,0.0196,6.1812,5.764,2.5555
"neg_8222_(3b,9R)-5-Megastigmene-3,9-diol 9-[apiosyl-(1->6)-glucoside]",0.8608,0.6592,2.6725,0.0191,0.0256,0.0102
pos_7986_Cincassiol B,0.0197,0.0241,0.0194,0.6865,0.6013,0.4885
pos_2338_Dihydromyoporone,0.1111,0.1366,0.0941,3.0905,2.6708,3.4135
neg_11004_UNPD210279,0.0063,0.0054,0,0.1092,0.2273,0.0724
neg_10368_UNPD151117,0,0.0034,0.0043,0.0264,0.0286,0.0199
neg_10369_DG(9M5/9D3/0:0),0.3444,0.1284,0.0918,0.016,0.2032,0.1678
pos_9937_Cichorioside K;(+)-Cichorioside K,0.3558,0.3749,0.4509,0.4236,0.352,0.2751
"pos_8099_(7'R*,8'S*)-Methyl 4,7'-epoxy-3,8'-bilign-7-ene-4',9'-dihydroxy-3',5-dimethoxy-9-oate",0.718,0.667,0.1645,0.1961,0.1584,0.1989
"neg_10396_11-hydroxy-7-(4-hydroxy-3,5-dimethoxycyclohexyl)-3-methyl-6-{[3,4,5-trihydroxy-6-({[3-(4-hydroxycyclohexyl)prop-2-enoyl]oxy}methyl)oxan-2-yl]oxy}-2,8-dioxatricyclo[7.3.1.0?,??]tridecan-8-ium-10-yl",0.0279,0.0528,0.0663,0.0077,0.0191,0.0065
neg_10400_UNPD192857,0.0059,0.0072,0.0125,0.0362,0.041,0.0208
"pos_7666_1,4-diphenyl-3-(2-phenylhydrazin-1-ylidene)butan-2-ol",0.1052,0.1076,0.0988,0.0086,0.0055,0.0031
"neg_10404_1-[(2R,3R)-5-[(2S)-1-hydroxypropan-2-yl]-2-[[(4-methoxy-3-methylphenyl)sulfonyl-methylamino]methyl]-3-methyl-6-oxo-3,4-dihydro-2H-1,5-benzoxazocin-10-yl]-3-(1-naphthalenyl)urea",0.0161,0.0074,0.0173,0.2273,0.1268,0.1303
neg_10409_,0.1832,0.1939,0.2901,0.3558,0.2294,0.2903
neg_10411_Rollimusin,0.1577,0.2065,0.2702,0.4478,0.2133,0.3611
neg_1529_UNPD127537,0.0136,0.0016,0.0151,0.2277,0.1303,0.2156
neg_4907_3'-Hydroxy-T2-triol,0.0462,0.0431,0.0263,2.7325,2.0409,2.8908
neg_10454_UNPD212743,1.2739,4.4832,3.1603,1.0099,0.1588,0.1126
neg_10453_UNPD212743,1.4312,1.3339,2.7911,0.2068,0.1171,0.828
pos_11899_Kelampayoside A,12.5582,4.2199,13.0585,3.795,5.1976,2.974
neg_2809_xi-7-Hydroxyhexadecanedioic acid,0.1093,0.1975,0.0918,0.3476,0.0946,0.2653
"pos_1708_1,5,6,7-tetrahydrospiro[imidazo[4,5-c]pyridine-4,4'-piperidine]",0.083,0.1119,0.1474,0.0923,0.0922,0.0991
"neg_10473_N-{21'-cyclohexyl-13',14',21'-trihydroxy-4'-[(1H-indol-2-yl)methyl]spiro[cyclopentane-1,6'-pentacyclo[14.4.1.0?,?.0?,??.0??,??]henicosan]-4'-en-9'-yn-11'-yl}-N'-methylguanidine",0.1329,0.1205,0.1146,0.1612,0.0361,0.1538
neg_10483_UNPD210186,0.0026,0.0079,0,0.0589,0.296,0.0133
neg_5467_Dihydrovaltrate,0.0223,0.019,0.0393,0.5742,0.4802,0.4019
neg_3508_N-propionylaplysinopsin,0.0256,0.0403,0.0249,0.0513,0.0517,0.0336
pos_20258_,0.0243,0.0232,0.0292,0.0113,0.0132,0.0097
"neg_3267_N-[(1,3-dioxolan-2-yl)methyl]-N-methyl-5H-pyrimido[5,4-b]indol-4-amine",0.0631,0.0339,0.0424,0.0521,0.0916,0.0403
neg_10511_,0.2223,0.06,0.044,0.0607,0.081,0.1257
"pos_13334_7,8-Dihydrovomifoliol 9-[apiosyl-(1->6)-glucoside]",0.96,0.5187,0.7705,0.9281,1.1827,0.4597
pos_10909_6-O-Acetylshanzhiside methyl ester,0.2554,0.1892,0.2038,1.2996,1.5766,0.9617
neg_10524_CNP0437417,0.0239,0.0213,0.0697,0.023,0.0218,0.0159
"neg_1957_9-(2,3-dihydroxypropoxy)-9-oxononanoic acid",0.282,0.3281,0.1354,0.7823,0.6315,0.8918
pos_10574_Dendronpholide L;(-)-Dendronpholide L,0.0798,0.0602,0.073,0.2284,0.188,0.2634
pos_8659_Aurantiamide,0.1058,0.1319,0.1011,0.4051,0.8472,0.506
pos_459_Cinnamaldehyde,1.7392,0.8108,0.0294,0.9357,0.9162,1.1943
"neg_10542_PA(18:3(9Z,12Z,15Z)/16:1(9Z))",0.3464,0.8707,0.7457,0.0807,0.1353,0.1068
neg_10549_,0.0977,0.6052,0.5944,0.0776,0.0147,0.0473
"pos_17046_N-(2-{[(6,7-dimethoxy-4-oxo-3,4-dihydroquinazolin-2-yl)methyl]sulfanyl}ethyl)-7-acetamido-16-oxo-11,15-diazapentacyclo[11.7.1.0?,??.0?,??.0??,??]henicosa-5,7,9,17,19-pentaene-3-carboxamide",0.063,0.0374,0.0728,0.0625,0.0773,0.0411
neg_10570_N-(4-carbamimidamido-1-{[1-carbamoyl-2-(1H-indol-3-yl)ethyl]carbamoyl}butyl)-2-{3-hydroxy-2-[(5-oxopyrrolidin-2-yl)formamido]propanamido}-4-methylpentanamide,0.0056,0,0.0055,0.1481,0.1188,0.1286
neg_1058_,0.1208,0.0217,0.073,0.0296,0.0233,0.0312
"neg_3032_5-hydroxy-1,7-bis(4-hydroxyphenyl)hept-1-en-3-one",3.3338,1.2674,0.1704,0.0103,0.0104,0.0121
neg_10600_Semilepidinoside A,0.0036,0.0021,0.0019,0.015,0.0058,0.0177
neg_10610_,0.0514,0.0511,0.0581,0.0426,0.035,0.0446
neg_5915_2-Methylacetophenone,0.2365,0.941,1.0476,0.0212,0.0193,0.0056
neg_10637_,0.01,0.0043,0.0112,0.1773,0.0882,0.0831
neg_10654_,0.2276,0.2531,0.3812,0.4311,0.2888,0.45
neg_10668_AT 2433B2,0.0417,0.0393,0.0713,0.064,0.0249,0.1962
neg_10669_AT 2433B2,0.3459,0.3214,0.7806,0.2427,0.1161,0.8534
"neg_3634_8,8'-bis({[(furan-2-yl)methyl]amino}methylidene)-1,1',6,6'-tetrahydroxy-3,3'-dimethyl-5,5'-bis(propan-2-yl)-7H,7'H,8H,8'H-[2,2'-binaphthalene]-7,7'-dione",0.0121,0.0054,0.0042,0.0464,0.0436,0.0614
pos_995_1-(1-methylethenyl)-3-(1-methylethyl)-benzene,0.0534,0.046,0.0415,0.0497,0.0613,0.0595
pos_17212_,0.0028,0.0058,0.0173,0.0041,0.0049,0.0116
"neg_10907_DG(18:1(9Z)/20:4(8Z,11Z,14Z,17Z)/0:0)",0.2091,1.1709,4.3049,0.4441,0.123,0.0915
neg_10752_Xyloccensin T;(+)-Xyloccensin T,0.0068,0.004,0.0118,0.0162,0.0301,0.0244
"pos_16927_2-({10-acetamido-3,4,5-trimethoxy-13-oxotricyclo[9.5.0.0?,?]hexadeca-1(16),2(7),3,5,11,14-hexaen-14-yl}amino)-3-methyl-N-(3-oxo-3,4-dihydro-2H-1,4-benzoxazin-7-yl)pentanamide",0.0099,0.004,0.0065,0.0287,0.1265,0.0279
neg_2634_Unknown (carbon number 18); PlaSMA ID-563,22.0578,15.4219,19.7077,10.1689,10.3879,8.7193
"pos_18621_2-{2-[(6-amino-4-{2-[3-(2-phenylethyl)phenyl]ethyl}pyridin-3-yl)methyl]-4-hydroxy-5-methoxyphenyl}-1-hydroxy-14-phenyltetradec-2-ene-4,6-dione",0.0019,0.0023,0.003,0.0027,0.0045,0.0069
neg_10770_,0.461,0.3018,1.3871,0.8241,0.364,0.544
pos_3729_Goniothalesdiol A,0.1781,0.1161,0.0226,0.1535,0.2126,0.1248
pos_16634_2-[2-(2-{[(benzyloxy)carbonyl]amino}-5-(tert-butoxy)-5-oxopentanamido)-4-(tert-butoxy)-4-oxobutanamido]-4-carbamoylbutanoic acid,8.453,10.1362,9.725,7.6991,3.2193,2.8989
neg_1079_6-Methoxymellein,0.0145,0.0235,0.0021,0.0172,0.0135,0.0131
"pos_13892_2,2,6b,9,9,12a,14a-heptamethyl-10,11-dipropanoyl-docosahydropicene-4a-carboxylic acid",0.307,0.3174,0.3039,0.3984,0.6179,0.6932
neg_10793_UNPD147175,0.2748,0.0761,0.0845,0.0889,0.1515,0.2159
neg_10795_UNPD10833,0.0451,0.0973,0.1102,0.0185,0.0288,0.0146
neg_10984_,0.0952,0.1461,0.2339,0.0618,0.0575,0.0522
"neg_5924_1,25-Dihydroxyvitamin D3-26,23-lactone",6.9841,3.6919,0.7665,7.383,8.8774,6.1274
neg_10988_,0.0916,0.1558,0.2533,0.1066,0.074,0.0683
neg_10811_Agnucastoside C;(-)-Agnucastoside C,0.0039,0.0017,0.0066,0.0033,0.0017,0.0031
neg_10824_Icosalide B,0.0434,0.077,0.1518,0.0531,0.0197,0.0248
neg_10825_Icosalide B,0.0477,0.0925,0.0957,0.0473,0.0377,0.0468
neg_10830_CNP0434478,0.1768,0.4047,0.7311,0.128,0.063,0.0606
neg_6449_Epigallocatechin 3-O-caffeate,0.0721,0.073,0.0886,0.0339,0.026,0.023
neg_4803_Gibberellin A43,0.0102,0.0123,0.0147,0.3462,0.3471,0.4625
neg_10856_,0.0381,0.033,0.0163,0.0417,0.0549,0.0441
neg_10858_Pterulamide III,0.092,0.1226,0.14,0.1912,0.1084,0.1709
neg_10865_DG(9D3/11M5/0:0),1.1068,0.8262,1.3524,0.2311,0.1539,0.9868
neg_10866_DG(9M5/11D3/0:0),1.1167,0.7406,1.4104,0.1329,0.1438,0.6113
neg_10868_DG(9D3/11M5/0:0),5.2806,4.6852,4.2598,0.8349,0.2697,3.208
neg_10869_DG(9D3/11M5/0:0),5.2806,4.6852,7.36,4.0135,1.8881,3.208
"neg_10871_DG(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(11Z)/0:0)",1.8212,1.7819,7.36,4.0135,1.8881,3.2529
neg_1088_Tuberonic acid,0.0087,0.0186,0.0103,0.0884,0.0342,0.0877
"neg_10880_11-[(5-{[6-hydroxy-4-oxo-3-(prop-2-en-1-yl)-2-sulfanylidene-1,2,3,4-tetrahydropyrimidin-5-yl][6-oxido-4-oxo-3-(prop-2-en-1-yl)-2-sulfanylidene-1,2,3,4-tetrahydropyrimidin-5-yl]methyl}-2-methoxyphenyl)methyl]-6-oxo-7,11-diazatricyclo[7.3.1.0?,?]trideca-2,4-dien-11-ium",0.4834,0.5437,0.8151,0.0041,0.0026,0.0027
neg_10886_,0.0031,0.0032,0.0029,0.2853,0.2321,0.1269
neg_5691_Nodulisporic acid F;(+)-Nodulisporic acid F,1.4078,2.4479,1.09,1.6641,1.45,1.2747
neg_10890_,0.0568,0.0713,0.0693,0.0942,0.0972,0.0612
neg_699_2-Isopropylmalic acid,0.3239,0.2859,0.2851,0.0724,0.1408,0.0955
neg_10901_,0.6187,1.0146,1.2147,0.2332,0.2045,0.4834
neg_10902_,0.3476,1.2337,4.6778,0.5485,0.1922,0.1947
pos_17827_,0.1578,0.214,1.6281,0.612,0.1947,0.2194
pos_17824_,0.0698,0.1798,1.4755,0.2806,0.0586,0.0605
pos_13405_Isolariciresinol 9'-O-beta-D-glucoside,0.0464,0.0448,0.0574,0.1578,0.2828,0.1671
pos_17888_,0.0149,0.0059,0.0258,0.05,0.0404,0.0369
pos_1436_Coniferyl alcohol,3.6104,3.4067,5.9943,0.7291,0.3051,1.2815
neg_10924_UNPD76996,0.0013,0.0073,0,0,0.0025,0.002
neg_7121_Linalool oxide D 3-[apiosyl-(1->6)-glucoside],0.4138,0.5477,0.7685,0.0292,0.0294,0.0219
neg_10930_GR 105155X;L 694599;Squalestatin;Squalestatin 1;Squalestatin S1;Zaragozic acid A,0,0.0033,0,0.0633,0.0521,0.022
neg_10931_GR 105155X;L 694599;Squalestatin;Squalestatin 1;Squalestatin S1;Zaragozic acid A,0,0.0024,0,0.0393,0.0382,0.0142
"neg_10943_2-[2-({2-[2-(N,2-dimethyloct-7-ynamido)-N,3-dimethylbutanamido]-1-hydroxy-3-methylbutylidene}amino)-N,3-dimethylpentanamido]-N-[1-(C-hydroxycarbonimidoyl)ethyl]-3-methylpentanimidic acid",1.5157,1.758,2.8745,3.0876,1.6856,2.0931
neg_10947_,0.1937,0.3765,0.6589,0.3975,0.2204,0.1663
neg_10961_CNP0432555,0.0246,0.036,0.012,0.0771,0.0376,0.0609
pos_19036_Foeniculoside II,0.0092,0.0071,0.0032,0.058,0.1226,0.0302
neg_10964_,0.0346,0.0384,0.0205,0.1138,0.0506,0.0941
neg_1414_(4-ethyl-2-methoxyphenyl)oxidanesulfonic acid,0.0184,0.0261,0.0061,0.0121,0.0049,0.0047
neg_10979_UNPD191122,0.0117,0.0049,0.0085,0.0927,0.0605,0.0609
neg_10986_,0.0721,0.1108,0.1809,0.0711,0.0511,0.0373
neg_10987_,0.0578,0.1119,0.1029,0.0391,0.0368,0.0346
"neg_5402_Enantiomultijugin;(7aR,10S,10aS)-rel-(-)-10-(Acetyloxy)-7a,9,10,10a-tetrahydro-5-methoxy-9,9-dimethyl-2-phenyl-4H-furo[3',2':4,5]furo[2,3-h]-1-benzopyran-4-one",0.0394,0.0368,0.0883,0.0458,0.0463,0.0257
"neg_5351_5-O-Methylhoslundin;5,7-Dimethoxy-6-(5-methoxy-6-methyl-4-oxo-4H-pyran-3-yl)-2-phenyl-4H-1-benzopyran-4-one",0.0875,0.0646,0.0785,0.2009,0.1726,0.1225
neg_1100_UNPD195741,1.1593,1.6005,0.2284,0.7989,0.681,0.5666
neg_7157_Sinocrassoside A1;(-)-Sinocrassoside A1,0.0098,0.0176,0.0032,0.0097,0.0107,0.0057
neg_11021_CNP0437070,0.1512,0.1916,0.25,0.205,0.2201,0.1852
neg_11023_CNP0437070,0.0743,0.0734,0.0932,0.1568,0.129,0.1185
neg_7942_Umbelliferose,0.0029,0.0011,0.004,0.0106,0.0285,0.0082
"neg_9763_6-Hydroxykaempferol 6-methyl ether 3-(6''-p-coumaroylglucoside);5,7-Dihydroxy-2-(4-hydroxyphenyl)-3-[[6-O-[(2E)-3-(4-hydroxyphenyl)-1-oxo-2-propenyl]-beta-D-glucopyranosyl]oxy]-6-methoxy-4H-1-benzopyran-4-one",0.0031,0.0069,0.0113,0.0046,0.0042,0.004
neg_11057_Hymenoside F;(-)-Hymenoside F,0.0072,0.0085,0.0191,0.0128,0.0142,0.006
neg_9194_Poncirin,0.0102,0.013,0.0149,0.0153,0.0219,0.0085
neg_11062_Pentacarboxylporphyrin I,0.058,0.0698,0.1091,0.2007,0.2869,0.1552
neg_11063_Pentacarboxylporphyrin I,0.0157,0.0131,0.0387,0.067,0.0916,0.0557
"pos_6655_Amorphaquinone;7-Hydroxy-8,3',4'-trimethoxyisoflavanquinone",0.9378,0.715,0.6228,0.0585,0.1213,0.0574
"neg_11069_tert-butyl 3-[2-(methylsulfanyl)-4-(propylamino)pyrazolo[1,5-a][1,3,5]triazin-8-yl]prop-2-enoate",0.0208,0.0336,0.0441,0.0599,0.0589,0.1578
pos_704_4-(4-Hydroxyphenyl)-2-butanone,0.0488,0.0384,0.0441,0.0421,0.0399,0.0561
pos_707_4-(4-Hydroxyphenyl)-2-butanone,0.0505,0.0566,0.0607,0.0393,0.0506,0.0601
neg_1109_2-Ethyl-1-hexanol sulfate,0.0886,0.0969,0.0956,0.0484,0.0302,0.0361
"neg_2743_4',7-Di-O-methylcatechin",0.0961,0.0769,0.0416,0.0227,0.0188,0.0238
neg_11103_Pentacarboxyl porphyrinogen III,0.0349,0.0253,0.0295,0.1296,0.1324,0.1008
"neg_11107_6-benzyl-8-[(diaminomethylidene)amino]-18,26-dihydroxy-25-methoxy-4-oxo-10,11-dithia-3-azatricyclo[21.3.1.1?,?]octacosa-1(26),23(27),24-trien-20-yl acetate",0.0749,0.0901,0.0712,0.0565,0.0939,0.0983
neg_11129_,0.2089,0.1808,0.1885,0.1432,0.0837,0.139
neg_2445_Hexadecanedioic acid,0.0613,0.0877,0.5151,0.0297,0.0167,0.037
"pos_9264_6-[4-(methoxymethyl)-1H-1,2,3-triazol-1-yl]-hexahydrofuro[3,2-b]furan-3-yl N-(4-acetylphenyl)carbamate",6.0443,5.8397,7.352,0.5129,0.5122,0.4986
neg_1696_Atractylenolide III,0.074,0.0659,0.0826,7.211,6.4123,7.3461
"neg_1117_Octahydro-2,5,5,8a-tetramethyl-7H-1-benzopyran-7-one",0.041,0.0273,0.055,1.6021,1.4176,1.2956
neg_11174_UNPD198326,0.4883,0.6171,0.3642,3.1472,1.6665,2.4683
neg_11193_UNPD217581,0.0098,0.0073,0.0054,0.0306,0.0239,0.0104
"neg_11205_PA(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))",0.2004,0.2293,0.6278,0.2593,0.1214,0.1133
"neg_11206_PA(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))",0.2507,0.3927,0.7094,0.5093,0.1219,0.1447
neg_11212_Longiside A,2.1778,2.7968,2.9262,3.0745,2.1924,3.4307
neg_11216_,0.0182,0.0156,0.0145,0.0182,0.0153,0.0105
neg_11218_CNP0434299,0.0115,0.0055,0.0356,0.0509,0.0277,0.0187
pos_7104_Prednisone,0.0279,0.0233,0.0231,0.0448,0.0379,0.0389
neg_11246_,0.0264,0.005,0.0329,0.0366,0.0407,0.0289
neg_11251_,0.0256,0.0438,0.1066,0.1093,0.1306,0.0442
neg_11250_,0.0242,0.0223,0.0447,0.0453,0.0399,0.0309
neg_11252_,0.0219,0.0244,0.0494,0.0337,0.0373,0.0187
neg_11255_Buddlejoside A4,0.0017,0.0102,0.0071,0.0092,0.0086,0.013
"neg_12001_11,16,22,28-tetrahydroxy-15-{4-hydroxy-3-[(3-hydroxyphenyl)methyl]-5-(2-methylpropyl)phenyl}-14,20-dioxa-26,27-dithiapentacyclo[19.6.3.0?,?.0??,??.0??,??]triaconta-10,12,15,18-tetraen-8-yn-17-one",0.0244,0.0206,0.0118,0,0.0024,0.0031
neg_11274_,0.0383,0.0625,0.0666,0.1212,0.0574,0.0855
