cluster,selected_feature,annotation_result,annotation_warning,cluster.size,source,Alignment.ID,Average.Rt.min.,Average.Mz,Adduct.type,level,Formula,Structure,Total.score,Final.score,Title,MS1.count,MSMS.count,PRECURSORMZ,PRECURSORTYPE,Theoretical.mass,Mass.error,Formula.score,Ontology,InChIKey,SMILES,Links,Chow..1,Chow..2,Chow..3,Chow..4,Chow..5,Chow..6,Chow..7,Chow..8,Chow..9,Chow..10,Chow..11,Chow..12,Chow..13,Chow..14,Chow..15,Chow..16,Chow..17,Chow..18,Chow..19,Chow..20,Chow..21,Blank.1,Blank.2,Blank.3,High.Fat..1,High.Fat..2,High.Fat..3,High.Fat..4,High.Fat..5,High.Fat..6,High.Fat..7,High.Fat..8,High.Fat..9,High.Fat..10,High.Fat..11,High.Fat..12,High.Fat..13,High.Fat..14,High.Fat..15,High.Fat..16,High.Fat..17,High.Fat..18,QC.1,QC.2,QC.3,QC.4,QC.5,QC.6,QC.7,MS.MS.spectrum
11,neg_2815,Simple ID,,5,neg,2815,18.838,479.48267,[M-H2O-H]-,generic,C32H66O3,"(3R,4S,9R,11R)-3-methoxy-4-methyl-triacontane-9,11-diol",3.7854,3.7854,Unknown,3,22,479.4827,[M-H2O-H]-,498.501195972,0.0006548,2.414,Fatty alcohols,LMPCWEJSURZPHA-SYEZAVJTSA-N,OC(CCCCCCCCCCCCCCCCCCC)CC(O)CCCCC(C)C(OC)CC,PubChem=122706650,0.023,0.0265,0.0222,0.0375,0.0338,0.0348,0.0316,0.0292,0.0314,0.0174,0.0158,0.0168,0.0301,0.031,0.0296,0.0748,0.0707,0.0747,0.0304,0.0684,0.0765,0.0347,0.0809,0.1494,0.052,0.0423,0.0398,0.0263,0.0116,0.0247,0.0206,0.02,0.0182,0.0434,0.0445,0.043,0.0172,0.0164,0.0194,0.0268,0.0256,0.0233,0.0342,0.032,0.0316,0.0329,0.0346,0.0334,0.0326,67.17043:44 68.14243:34 93.99224:28 99.60796:24 124.20762:196 130.07701:17 139.44287:39 148.24686:50 163.28027:19 234.7787:27 243.69127:40 289.73221:23 326.54214:32 351.71512:10 360.99438:27 373.51587:20 457.06485:18 476.2406:36 477.29425:27 479.48239:498 479.54337:17 479.80328:37
12,neg_8641,Simple ID,Other possible annotated peaks for this cluster.,5,neg,8641,19.864,750.69824,[M+FA-H]-,generic,C46H91NO3,"N-[(2S,3R,E)-1,3-dihydroxyhexacos-4-en-2-yl]icosanamide",3.9852,3.9852,Unknown,3,32,750.6982,[M+FA-H]-,705.699895772,-0.0001017,2.424,Long-chain ceramides,ICQVSOVNIWESBC-QRQQRGDGSA-N,O=C(NC(CO)C(O)C=CCCCCCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCCC,"NANPDB=NANPDB_132,UNPD=UNPD210753,COCONUT=CNP0421500",0.1314,0.1217,0.1252,0.0455,0.0459,0.0494,0.0051,0.0066,0.0049,0.0014,0.0029,0.0031,0.0036,6e-4,0.0018,0.3074,0.3002,0.3181,0.1483,0.6464,0.6031,0.0127,0.042,0.0071,0.011,0.0112,0.0106,0.0146,0.0085,0.0154,0.0117,0.0099,0.0111,0.0019,0.0011,1e-4,0.0521,0.0491,0.0502,0.0183,0.0155,0.0119,0.0716,0.075,0.0715,0.0765,0.0708,0.0685,0.0705,50.75487:10 53.52279:17 55.92692:71 73.44705:37 76.16393:26 81.69328:12 85.69941:15 90.06181:23 94.79288:14 119.53675:86 173.92244:18 204.33594:12 213.00758:57 236.54541:44 277.89981:18 292.90137:46 389.40036:43 477.50827:45 513.11499:14 597.13007:21 609.41394:11 647.35596:18 659.37238:14 689.25311:37 703.59796:59 704.69556:342 704.79791:11 705.68787:29 705.82184:43 748.651:30 749.67194:14 750.69403:150
13,neg_10026,Unknown compound,,4,neg,10026,19.997,818.6861,[M-H]-,,,,,,,,,,,,,,,,,,0.0118,0.0121,0.0379,0.0027,0.0126,0.0072,0,2e-4,6e-4,0,2e-4,0,2e-4,0,6e-4,0.0806,0.0888,0.0801,0.373,0.1836,0.196,0.0081,0,0.0169,0.0052,0.005,0.0058,0.0042,0.0082,0.003,0.0043,0.004,0.0045,0.0025,0.0025,0.0033,0.0174,0.0174,0.012,0.0087,0.0057,0.0064,0.0055,0.0194,0.0083,0.0074,0.0151,0.0093,0.0141,59.49873:11 68.99702:441 69.0308:13 69.28951:12 69.31265:13 69.54057:19 91.38613:17 100.93307:82 112.98544:1146 113.15416:10 113.28419:19 113.47234:10 113.52417:16 126.90269:18 178.78262:35 182.16701:99 211.67398:22 218.87688:15 247.40109:19 250.40007:45 283.47327:21 379.74838:25 453.254:256 453.35095:11 589.53601:16 678.47388:10 734.07556:32 773.06689:17 813.58508:24 818.7088:261
14,neg_10027,Unknown compound,,4,neg,10027,20.796,818.68628,[M-H]-,,,,,,,,,,,,,,,,,,0.0135,0.0141,0.012,0.0055,0.0049,0.005,0.0029,0.0041,0.0037,0.0023,0.0026,0.0031,0.0032,0.0045,0.0044,0.0204,0.0217,0.022,0.0073,0.0159,0.0132,0.0934,0.0746,0.1773,0.0231,0.0257,0.0237,0.0166,0.0063,0.0164,0.0047,0.0071,0.0052,0.0078,0.008,0.0071,0.0378,0.0349,0.0357,0.0281,0.0294,0.0296,0.0027,0.004,0.0044,0.0025,0.0047,0.0042,0.0034,50.97302:39 71.39442:40 81.841:54 102.81656:36 112.98521:1006 113.10806:11 113.177:38 123.62669:18 141.28638:20 146.53421:11 166.33835:13 208.31375:16 230.23732:18 268.08655:15 270.24765:36 344.26309:14 426.61154:31 453.77258:31 479.17191:32 484.79544:16 539.64154:18 551.3042:57 729.18719:33 742.08502:40 772.72174:47 818.46375:62 818.75006:309 818.82574:16
15,neg_9551,Unknown compound,,3,neg,9551,21.355,792.74445,[M+FA-H]-,,,,,,,,,,,,,,,,,,0.0977,0.0977,0.0945,0.0488,0.0435,0.0481,4e-4,6e-4,9e-4,6e-4,2e-4,4e-4,0,5e-4,2e-4,0.2416,0.2445,0.2432,0.199,0.2046,0.2104,0.0647,0.1981,0.1525,0.008,0.0092,0.0072,0.012,0.0124,0.0109,0.001,0.0017,3e-4,0.0014,0.0012,0.0015,0.075,0.0736,0.0731,0.023,0.0249,0.025,0.0415,0.039,0.0418,0.0409,0.0393,0.0417,0.0405,53.02192:140 56.95531:41 70.24194:71 76.60125:53 111.70557:14 116.31827:24 138.03983:29 147.93442:27 180.69292:74 250.34436:26 273.15234:21 312.13419:31 327.36584:41 337.82675:23 391.85907:19 527.8761:26 563.88776:15 601.83374:62 627.76459:20 669.36792:13 715.53101:19 746.70148:34 746.7417:367 747.39496:48 747.76459:12 748.98157:33 749.55994:14 781.37079:21 792.64209:44
16,neg_10030,Simple ID,,1,neg,10030,8.279,819.51764,[M-H]-,generic,C46H77O10P,"PG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))",4.5947,4.5947,Unknown,3,20,819.5176,[M-H]-,820.525435294,0.0005588,2.957,Phosphatidylglycerols,CAYNNAPUMJLPCS-JAHUGASZSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO)CCC=CCC=CCC=CCC=CCC=CCC=CCC,"HMDB=HMDB0116633,LipidMAPS=LMGP04010828",0.0649,0.0694,0.0633,0.1132,0.1099,0.1077,0.2582,0.2568,0.28,0.3992,0.3692,0.3818,0.2272,0.2325,0.232,0.0308,0.0298,0.0218,0.0575,0.054,0.0529,0.0121,0.0408,0.0121,0.0249,0.0262,0.0295,0.1498,0.1472,0.141,0.1949,0.2011,0.2053,0.0855,0.0838,0.0924,0.0481,0.0516,0.0453,0.0211,0.0189,0.0188,0.1141,0.1039,0.0965,0.108,0.1012,0.1005,0.0959,69.62799:95 117.64515:15 219.10516:42 281.24231:57 305.58212:41 317.42032:105 327.23376:13 340.4996:41 349.85602:34 359.47488:53 386.23865:15 477.28027:63 495.79471:97 537.25635:29 725.78949:85 783.81366:74 784.59991:70 819.52454:919 819.62732:25 819.80237:37
17,neg_6475,Simple ID,Other possible annotated peaks for this cluster.,4,neg,6475,8.235,659.49158,[M+FA-H]-,generic,C39H66O5,"DG(16:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)",4.4316,4.4316,Unknown,3,33,659.4916,[M+FA-H]-,614.491025212,-0.0023722,2.617,"1,2-diacylglycerols",IVRNQYIPGILFPZ-SEKRGLSRSA-N,O=C(OCC(OC(=O)CCCC=CCC=CCC=CCC=CCCCCC)CO)CCCCCCCC=CCCCCCC,"HMDB=HMDB0007141,ChEBI=CHEBI:88489,FooDB=FDB024335,BMDB=BMDB07141,LipidMAPS=LMGL02010077,Serum=HMDB0007141,COCONUT=CNP0328036",0.0018,0,0,0.0016,4e-4,0.0037,0.005,0.0041,0.0064,0.0273,0.0303,0.0303,0,0.0022,0.0052,5e-4,0,0.0015,0.0034,7e-4,0.0035,0.0639,0.0621,0.027,0.0087,0.0092,0.0061,0.009,0.012,0.0094,0.0067,0.0075,0.0042,0.0065,0.0049,0.0094,0.0088,0.0061,0.0082,0.0125,0.0139,0.0047,0.0113,0.0081,0.0077,0.0074,0.0058,0.0084,0.0075,59.71214:34 62.17714:15 84.4459:23 156.64464:21 169.34613:43 190.89899:17 196.94463:115 221.59663:16 223.20558:264 223.26842:11 227.47173:31 247.00183:45 273.72153:70 275.93063:85 275.97946:11 277.21667:54 356.21524:19 385.87598:46 419.22208:10 437.98721:35 481.29004:21 497.56668:43 501.85577:59 505.99942:22 557.45227:32 580.61169:53 612.26135:13 613.48712:972 613.55408:66 613.87476:31 614.01227:12 614.33978:13 614.47791:52
18,neg_10039,Unknown compound,,1,neg,10039,9.08,819.5752,[M-H]-,,,,,,,,,,,,,,,,,,2e-4,0.0012,3e-4,0.0012,9e-4,0,0.0134,0.0114,0.0128,0.125,0.1198,0.1199,0.0137,0.0131,0.0114,0.0012,0,0,0,6e-4,0,0,0.1132,0.0585,0,0,0,0.0029,8e-4,8e-4,9e-4,0.0026,3e-4,0,0.0016,0,0.001,0.0013,0.0025,0.0018,4e-4,9e-4,0.0101,0.0118,0.0119,0.0132,0.0108,0.0112,0.0123,74.03149:49 90.55031:73 92.52919:18 152.99655:59 219.73141:197 219.77646:10 265.2493:21 281.2283:112 327.23569:138 493.29376:54 508.39944:23 580.02332:18 684.46088:22 710.52753:13 819.57544:1541
19,neg_1004,Simple ID,,1,neg,1004,1.537,335.22302,[M+FA-H]-,generic,C19H30O2,Dihydrotestosterone,5.0573,5.0573,Unknown,3,8,335.223,[M+FA-H]-,290.2245802,-0.0002173,2.974,Androgens and derivatives,NVKAWKQGWWIWPM-FOKYSTJMNA-N,O=C1CCC2(C)C(C1)CCC3C4CCC(O)C4(C)CCC32,"HMDB=HMDB0002961;HMDB0006770,ChEBI=CHEBI:16330;CHEBI:2150;CHEBI:85278;CHEBI:86377,DrugBank=DB02901;DB07447,SMPDB=PW_C001745;PW_C002921,T3DB=T3D4751,FooDB=FDB023086;FDB024072,STOFF=STOFF_5612,BMDB=BMDB02961;BMDB06770,LipidMAPS=LMST02020042;LMST02020069,Urine=HMDB0002961,CSF=HMDB0002961,Serum=HMDB0002961,PubChem=11302;10635,PlantCyc=17-BETA-HYDROXYANDROSTAN-3-ONE,BLEXP=BLEXPDB00000000015,COCONUT=CNP0117289",0.1028,0.0952,0.1014,0.1037,0.1022,0.1042,0.0812,0.0857,0.0822,0.0578,0.0588,0.0538,0.0947,0.0927,0.0954,0.1139,0.1133,0.1155,0.115,0.1146,0.1192,0.1226,0.052,0.1548,0.0101,0.0088,0.0089,0.0205,0.0216,0.0236,0.0142,0.0125,0.0154,0.0172,0.0169,0.0138,0.0206,0.0179,0.0185,0.0097,0.0144,0.01,0.0561,0.0618,0.0609,0.0577,0.0594,0.0567,0.0569,53.75791:30 54.64061:67 59.51024:50 134.82857:16 152.85538:27 291.21857:58 335.2037:143 335.26468:10
20,neg_11361,Unknown compound,,2,neg,11361,14.584,897.59186,[M-H]-,,,,,,,,,,,,,,,,,,0.081,0.0797,0.0796,0.0665,0.0624,0.0636,0,0,0,0,0,0,5e-4,0,4e-4,0.0386,0.0337,0.0357,0.0737,0.0445,0.0489,0.0199,0.0029,0.0609,0.0402,0.0382,0.0368,0.0442,0.0439,0.0437,0.0875,0.0945,0.0906,0.0846,0.0914,0.0871,0.0672,0.0673,0.0646,0.0787,0.0886,0.0808,0.0361,0.0345,0.0339,0.0336,0.0329,0.032,0.0325,68.99537:264 69.21743:69 112.81762:40 112.89605:139 112.98505:704 113.02444:19 113.31284:24 192.73079:59 269.24918:132 302.26581:11 356.37393:44 447.00836:48 464.07693:11 607.133:44 756.69751:28 819.71008:25
