cluster,selected_feature,annotation_result,annotation_warning,cluster.size,source,Alignment.ID,Average.Rt.min.,Average.Mz,Adduct.type,level,Formula,Structure,Total.score,Final.score,Title,MS1.count,MSMS.count,PRECURSORMZ,PRECURSORTYPE,Theoretical.mass,Mass.error,Formula.score,Ontology,InChIKey,SMILES,Links,NW3.1,NW3.2,NW15.1,NW3.3,NW15_P.1,NW15_P.2,NW3_P.1,NW15.2,NW3_P.2,NW15.3,NW15_P.3,NW15.4,NW15.5,NW15_P.4,NW3_P.3,NW3_P.4,NW3.4,NW15_P.5,NW3_P.5,NW3_P.6,NW3.5,Blank.1,Blank.2,Blank.3,QC.1,QC.2,QC.3,QC.4,QC.5,MS.MS.spectrum
149,neg_1489,Unknown compound,,1,neg,1489,14.282,869.60529,[M-H]-,,,,,,,,,,,,,,,,,,0.2793,0.2476,0.2148,0.2556,0.2206,0.2717,0.271,0.471,0.4372,0.2799,0.1654,0.6025,0.2785,0.233,0.2166,0.2463,0.2206,0.2249,0.2051,0.2422,0.2195,0.0626,0,0,0.3298,0.3818,0.3257,0.3116,0.3083,50.7316:215 51.06941:18 65.76653:14 69.16036:19 70.26884:30 73.53785:261 77.82045:113 78.96397:188 78.98692:21 93.3803:23 106.58915:10 116.70765:40 117.87228:17 121.11176:27 124.96976:41 135.09355:19 159.86346:28 160.78319:18 162.92752:49 164.95232:13 165.52002:30 165.77034:42 217.05554:30 219.15167:31 249.29193:38 249.7366:18 253.02625:21 268.53717:61 276.20563:60 307.51559:56 338.49872:30 345.37164:77 361.24643:89 365.40024:187 374.76501:49 392.18909:102 402.21283:29 415.31128:30 415.38223:26 430.02109:16 437.11966:11 476.82083:13 482.72046:13 493.9736:77 498.819:26 540.44299:184 545.86182:31 580.94458:13 586.48328:41 603.68488:55 624.25751:48 626.83002:112 783.3717:20 784.89624:33 790.21826:11 790.29321:18 790.51514:26 790.82013:31 794.01031:10 794.50562:24 795.23492:18 795.46039:31 795.5744:3984 795.79364:29 796.02917:24 796.17682:55 796.32379:28 796.5249:148 796.57947:446 796.69592:30 796.75568:85 796.96069:21 797.10797:11 797.47107:10 798.0011:32 798.0863:22 798.35309:14 802.3338:30 810.54138:87 820.60718:24 869.35199:32 869.56488:135
150,neg_1490,Unknown compound,,1,neg,1490,14.415,869.67242,[M-H]-,,,,,,,,,,,,,,,,,,0.0534,0.061,0.0531,0.0438,0.0723,0.0621,0.0547,0.1323,0.0807,0.0462,0.0424,0.1933,0.0494,0.0688,0.0501,0.0611,0.0641,0.0512,0.0567,0.0608,0.0588,0,0,0.0349,0.0983,0.0715,0.0814,0.0614,0.0344,50.7316:215 51.06941:18 65.76653:14 69.16036:19 70.26884:30 73.53785:261 77.82045:113 78.96397:188 78.98692:21 93.3803:23 106.58915:10 116.70765:40 117.87228:17 121.11176:27 124.96976:41 135.09355:19 159.86346:28 160.78319:18 162.92752:49 164.95232:13 165.52002:30 165.77034:42 217.05554:30 219.15167:31 249.29193:38 249.7366:18 253.02625:21 268.53717:61 276.20563:60 307.51559:56 338.49872:30 345.37164:77 361.24643:89 365.40024:187 374.76501:49 392.18909:102 402.21283:29 415.31128:30 415.38223:26 430.02109:16 437.11966:11 476.82083:13 482.72046:13 493.9736:77 498.819:26 540.44299:184 545.86182:31 580.94458:13 586.48328:41 603.68488:55 624.25751:48 626.83002:112 783.3717:20 784.89624:33 790.21826:11 790.29321:18 790.51514:26 790.82013:31 794.01031:10 794.50562:24 795.23492:18 795.46039:31 795.5744:3984 795.79364:29 796.02917:24 796.17682:55 796.32379:28 796.5249:148 796.57947:446 796.69592:30 796.75568:85 796.96069:21 797.10797:11 797.47107:10 798.0011:32 798.0863:22 798.35309:14 802.3338:30 810.54138:87 820.60718:24 869.35199:32 869.56488:135
151,neg_1499,Unknown compound,,1,neg,1499,14.343,872.56677,[M-H]-,,,,,,,,,,,,,,,,,,0.1553,0.1385,0.1533,0.1787,0.1274,0.1265,0.172,0.1232,0.1694,0.1595,0.1507,0.1187,0.179,0.1076,0.1353,0.1169,0.129,0.1112,0.1766,0.1474,0.1691,0,0,0,0.0501,0.1772,0.1258,0.1518,0.2314,58.5563:25 60.81802:13 61.17181:70 61.84602:42 63.62252:88 64.82478:44 64.91209:35 72.0567:13 83.14068:70 96.92088:91 140.50993:100 148.72766:18 166.57788:24 188.66815:21 189.7285:65 219.90172:23 220.30124:52 227.64949:29 236.71458:67 246.46587:32 247.85439:75 252.22682:41 263.89725:47 279.23151:150 279.69333:15 280.23016:21 296.25565:27 297.46893:20 314.97296:19 315.4407:55 323.84821:12 337.61404:33 343.37408:29 346.29575:11 359.30472:21 374.07495:39 374.1344:34 406.13251:108 407.55728:30 408.77908:32 439.01529:34 468.83243:76 487.48126:27 498.37689:30 537.91443:11 554.04016:34 613.37897:14 639.64374:21 640.08893:28 645.2467:109 646.83057:29 651.75757:29 656.95331:11 675.51117:129 678.43964:30 692.70441:23 705.3667:32 719.12244:29 726.58008:37 728.18298:33 729.39178:31 755.76031:18 763.23236:28 775.51556:24 779.7782:30 791.12628:31 791.35284:17 792.93268:11 793.25885:20 793.71906:46 794.98254:21 798.52435:67 798.60474:1073 798.72076:21 799.19037:23 799.45764:21 799.59686:74 799.86798:13 800.21454:42 802.68427:29 802.71997:13 811.03802:29 812.271:41 813.56628:216 813.64136:13 834.92578:23 866.41077:32 866.73816:16 867.20892:15 872.51892:24 872.63599:584 872.75507:12
152,neg_1501,Unknown compound,,3,neg,1501,14.513,872.63824,[M+CH3COONa-H]-,,,,,,,,,,,,,,,,,,0.5467,0.5005,0.4954,0.5014,0.5209,0.5212,0.4948,0.4201,0.4217,0.5335,0.4356,0.4748,0.4837,0.5005,0.5117,0.5127,0.5379,0.5127,0.4659,0.5366,0.5043,0,0.0569,0.0159,0.621,0.5711,0.5942,0.6099,0.5908,50.69339:66 60.48648:44 61.57338:37 83.83688:33 91.79006:119 93.18017:12 95.05492:23 105.99808:89 113.26666:10 119.04999:44 124.4575:104 133.40468:126 140.94208:166 159.46596:26 168.04285:31 189.07484:30 198.53358:32 221.16219:50 223.95178:24 227.0311:45 242.27203:27 254.33687:41 255.23424:191 256.61987:18 257.25998:17 260.22363:17 266.2092:12 276.36096:121 277.48254:40 279.23309:684 280.23843:82 280.97418:47 297.16696:20 298.81448:27 307.23492:31 307.26404:92 307.60394:101 307.80255:29 308.49506:22 311.293:420 311.33377:12 311.81567:13 312.0282:29 312.71271:64 317.48206:30 321.6069:12 326.10092:20 338.15601:33 356.26828:35 363.86859:26 365.38925:39 397.01059:10 406.52777:120 408.16849:29 415.86722:146 424.59314:24 425.36694:69 442.8327:45 444.34052:27 444.36914:38 446.03912:33 448.83575:18 460.56094:50 465.87137:12 467.83173:40 498.39377:236 500.64175:14 536.36884:21 541.32855:15 542.86493:35 543.36072:13 573.60748:21 582.90137:14 583.38666:37 595.66528:20 612.59515:49 614.94519:91 636.04199:100 647.62872:74 654.4704:59 654.92273:71 660.94159:13 718.34204:93 720.96259:13 743.27643:42 786.8504:29 793.01434:38 797.16974:23 798.37067:29 798.59875:3426 798.8006:39 798.98956:103 799.01581:55 799.16986:52 799.25146:29 799.29077:23 799.51678:35 799.60419:422 799.70258:41 799.83099:50 799.9444:37 800.3819:37 800.54156:37 801.24927:17 802.52692:21 811.35315:24 814.09814:42 822.58038:85 837.62866:69 845.48944:11 845.70728:45 847.40564:18 855.47015:149 866.85687:23 868.03833:39 872.63141:217 873.09509:49
153,pos_3272,Simple ID,Other possible annotated peaks for this cluster.,9,pos,3272,16.996,815.70258,[M+H]+,generic,C47H95N2O6P,SM(d18:0/24:1(15Z)),7.0582,7.0582,Unknown,3,15,815.7026,[M+H]+,814.6927754,-0.0025482,3.142,Phosphosphingolipids,XZBDYCJQWJNNJB-CFLZVKAOSA-N,O=C(NC(COP(=O)([O-])OCC[N+](C)(C)C)C(O)CCCCCCCCCCCCCCC)CCCCCCCCCCCCCC=CCCCCCCCC,"HMDB=HMDB0012095,ChEBI=CHEBI:89488;CHEBI:91146,FooDB=FDB028762,BMDB=BMDB12095,LipidMAPS=LMSP03010023,Urine=HMDB0012095,Serum=HMDB0012095,PubChem=44260133,BLEXP=BLEXPDB00044260133,COCONUT=CNP0153754",0.118,0.1931,0.0472,1.5104,0.1185,0.2765,0.191,6.9581,0.5206,0.1421,0.0615,3.7512,0.0822,0.1347,0.2068,0.078,0.1639,1.3055,0.3245,0.0708,0.1173,0,0.0142,0,2.4516,6.9212,8.6811,7.2652,6.0447,60.08227:21 71.07343:47 80.97272:42 86.09735:300 86.37103:41 98.98036:37 104.107:127 104.12119:36 125.00121:74 184.07343:5583 184.15021:31 184.18338:18 184.43118:61 184.56082:24 276.73026:38
154,neg_1517,Simple ID,Other possible annotated peaks for this cluster.,2,neg,1517,15.645,874.6554,[M-H]-,generic,C48H94NO10P,PS(20:0/22:0),5.2127,5.2127,Unknown,3,149,874.6554,[M-H]-,875.6615348,-0.0011416,2.429,Phosphatidylserines,OSVMNYKMFVEISZ-UVTBUIGASA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O)CCCCCCCCCCCCCCCCCCC,"HMDB=HMDB0112531,LipidMAPS=LMGP03010946",0.1727,0.1607,0.1725,0.1708,0.2038,0.1864,0.1582,0.0902,0.1121,0.1828,0.1515,0.1246,0.1838,0.1734,0.1799,0.1819,0.1717,0.1772,0.1943,0.2026,0.189,0,0,0,0.178,0.1606,0.1763,0.218,0.1735,50.96826:30 52.73317:19 58.30927:11 59.01421:128 61.90512:121 68.61171:16 68.62396:63 68.99448:86 73.06644:49 76.47456:151 78.81129:21 79.54707:33 80.98206:79 92.64696:23 95.46515:25 105.58546:12 107.93398:38 111.04205:77 112.59845:45 112.98514:279 115.59446:11 120.62538:71 139.57843:61 149.7262:11 153.56105:38 157.01311:29 165.03493:76 179.46426:24 199.42644:221 199.46964:12 205.03302:84 208.38844:13 208.71101:112 209.28134:20 211.17227:21 219.90251:18 236.01605:74 252.20676:32 255.23303:116 275.10284:55 279.26385:15 283.26697:170 283.82404:25 288.2197:12 291.0137:78 292.33032:13 295.59637:15 305.03488:149 305.66565:38 309.27786:632 310.28314:97 310.66263:24 310.97083:38 312.29431:35 313.14249:10 318.96994:48 337.31323:93 337.69724:16 339.80823:18 340.95596:35 345.42456:19 348.72018:56 361.29944:20 365.26462:180 365.31247:18 385.89792:17 403.9588:49 432.97736:16 433.31735:33 446.54471:33 452.14868:107 462.85846:44 470.33035:13 473.42603:32 482.19357:18 486.94437:18 488.12622:10 489.35562:33 492.90219:24 494.80682:15 498.59796:218 504.45496:45 508.34897:56 508.56186:32 560.06848:50 561.19714:29 563.92462:79 569.45685:33 576.75812:22 581.08978:76 600.11121:28 604.53485:19 611.71118:44 613.71637:29 624.21423:27 639.29169:22 644.94934:76 647.69458:35 652.53424:146 666.61859:166 670.54779:161 677.87396:49 690.98492:23 706.50549:56 720.89844:13 727.59528:39 742.6131:28 745.95312:15 753.30267:24 761.8783:31 762.50824:17 773.67572:44 779.78894:17 789.66058:28 793.50323:25 795.13953:12 796.01691:16 799.44464:11 799.64539:73 800.07202:34 800.51953:102 800.61688:2066 800.77618:59 800.85083:54 800.89313:24 800.9455:32 801.10907:13 801.18823:15 801.41919:14 801.6073:308 801.77863:14 801.82367:23 801.91638:28 801.94849:50 802.21967:33 802.46399:40 802.76398:38 803.29193:32 803.46826:23 805.74475:17 809.39429:10 815.57733:53 836.40302:15 860.96649:28 873.98145:139 874.64337:135 874.71735:33 874.86127:10 875.06042:43
155,neg_257,Simple ID,,2,neg,257,10.37,301.16602,[M-H]-,generic,C15H26O6,Glycerol tributanoate,4.6818,4.6818,Unknown,3,30,301.166,[M-H]-,302.1729386,-0.0003379,2.647,Triacylglycerols,UYXTWWCETRIEDR-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCC)COC(=O)CCC)CCC,"HMDB=HMDB0031094,ChEBI=CHEBI:35020,FooDB=FDB003099,PlantCyc=CPD-13014,UNPD=UNPD1772,BLEXP=BLEXPDB00000006050,COCONUT=CNP0247402",1.0653,0.8152,1.1685,1.1473,0.9182,1.0579,1.0832,0.834,0.8596,1.1575,0.8149,0.9887,0.8721,0.9615,1.0349,1.0807,0.9557,0.9975,1.127,1.1201,0.8499,0.0465,0.0904,0.0129,0.9035,0.8868,1.0263,0.9751,0.9454,63.59408:50 65.32188:33 72.90034:37 89.6256:14 97.80576:50 117.07867:47 119.20177:16 120.526:39 135.11594:21 136.26649:19 136.74759:14 162.78944:86 167.21248:70 187.69643:14 188.88083:14 196.56625:15 213.24791:28 214.60156:29 217.07298:494 217.38391:16 247.54829:23 251.65318:30 251.81816:172 285.13147:175 285.35516:49 285.43716:21 286.43634:31 300.49286:39 301.16504:1486 301.40332:25
156,neg_1526,Unknown compound,,1,neg,1526,12.265,876.60846,[M-H]-,,,,,,,,,,,,,,,,,,0.0894,0.0982,0.1108,0.0924,0.1175,0.1046,0.1154,0.0779,0.0886,0.107,0.0874,0.0897,0.1113,0.0848,0.0753,0.0867,0.0879,0.118,0.0862,0.1233,0.1015,0,0,0,0.1111,0.1055,0.1035,0.1392,0.1244,52.79304:12 58.07578:38 60.20599:19 61.87051:13 65.09367:18 68.08856:18 80.96547:190 81.76945:45 83.25005:60 83.97213:26 92.52854:88 94.55029:30 97.21136:14 106.00664:67 116.53223:22 121.12531:30 133.29103:100 165.2359:56 195.30431:20 207.08572:12 220.89813:13 229.32484:70 229.3459:16 235.0564:56 236.85614:105 254.80188:27 271.73495:33 274.94711:18 277.15265:42 280.79498:12 282.63049:13 286.73315:18 295.38065:36 300.93207:11 303.8512:21 304.06934:11 304.46948:16 305.61676:48 312.4046:18 312.44763:13 327.23074:141 328.10883:13 332.27139:21 336.76492:19 342.11261:227 346.4263:28 351.56601:21 379.14893:58 395.03882:32 413.84772:28 417.59106:64 437.4964:140 437.54599:12 458.58154:17 469.47134:14 469.52057:269 476.73593:12 479.065:23 486.20813:48 494.69122:18 495.26257:36 514.99365:38 517.37048:18 534.57898:40 543.2785:51 557.58221:109 561.68274:17 581.38141:49 582.79181:23 585.17865:194 588.90918:73 589.453:29 593.28534:116 593.73444:33 598.07275:41 604.17993:75 616.43427:135 623.54126:21 642.72931:35 649.35834:57 655.56744:64 658.06805:69 664.21564:12 682.26178:103 699.86865:227 714.49817:20 717.31952:67 753.28564:16 782.50134:33 802.24829:50 802.57367:617 803.02881:17 803.12042:56 803.77753:33 803.93854:101 804.15204:25 804.25055:19 807.19055:18 826.80347:30 828.76068:56 870.44617:27 871.73865:16 872.82678:28 875.58862:63 876.44891:92 876.48901:80 876.59265:1147 876.89777:21 877.00934:52
157,neg_1534,Simple ID,,1,neg,1534,10.733,885.54999,[M-H]-,generic,C47H83O13P,"PI(20:4(5Z,8Z,11Z,14Z)/18:0)",4.7625,4.7625,Unknown,3,98,885.55,[M-H]-,886.5571293,-0.0001471,2.194,Phosphatidylinositols,CBYJKEBKBMWPMN-ITNYWZHKSA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)CCCC=CCC=CCC=CCC=CCCCCC,"HMDB=HMDB0009894,ChEBI=CHEBI:89110,FooDB=FDB027084,BMDB=BMDB09894,LipidMAPS=LMGP06010598,Serum=HMDB0009894,COCONUT=CNP0244816",0.0657,0.0319,0.0273,0.1698,0.013,0.0656,0.0886,1.0913,0.7909,0.0376,0.1111,1.0948,0.0238,0.0717,0.3332,0.3198,0.1105,0.2941,0.5012,0.1563,0.1456,0,0,0,1.1588,1.183,1.1078,0.8783,0.7193,61.86163:105 64.62434:152 67.93668:32 79.85722:27 79.92544:73 81.99896:29 98.94339:113 106.57784:59 106.64153:16 108.53399:48 108.55199:12 108.57735:11 112.04024:121 114.84008:18 116.45827:49 129.30351:50 134.09619:23 145.39429:39 152.15063:11 161.18407:24 163.33792:26 179.4971:11 181.59398:36 189.25546:142 195.17799:55 213.01505:13 216.1815:17 219.88689:15 220.76431:32 225.39439:31 228.73177:63 235.84451:50 241.25172:10 248.29755:20 261.26218:81 261.28851:12 265.22577:33 281.80197:33 286.75433:175 291.10229:74 309.87885:20 323.53363:65 333.32343:22 338.86691:20 357.94568:18 362.05878:119 363.17191:28 368.32339:118 378.87576:29 381.21521:58 386.5878:24 389.72391:27 390.79315:16 419.33801:26 426.11954:31 436.89548:31 438.78812:18 478.27167:20 486.00137:15 486.1778:112 486.20789:26 490.33939:33 493.76874:10 525.00562:83 539.48486:13 544.4054:34 553.47595:13 571.57788:13 574.4649:40 595.66669:49 597.81439:25 614.77625:23 658.77466:67 660.7984:55 668.96124:98 684.10516:59 684.38452:70 686.37054:38 715.27563:17 719.49799:48 724.39886:10 743.4563:18 746.34375:98 752.43805:81 766.43201:21 792.79767:34 793.94434:22 807.63727:13 817.74164:15 823.77478:21 841.1485:249 879.46271:26 879.49359:15 885.54858:2129 885.62854:101 885.7511:38 885.89117:37 885.93689:12
158,neg_1535,Simple ID,,1,neg,1535,9.445,886.56128,[M-H]-,generic,C50H82NO10P,"PS(22:2(13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",4.9415,4.9415,Unknown,3,120,886.5613,[M-H]-,887.5676345,-0.000942,2.179,Phosphatidylserines,AAEHIVYIVPNEDF-MKJHNSTASA-N,O=C(OCC(OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(N)C(=O)O)CCCCCCCCCCCC=CCC=CCCCCC,"HMDB=HMDB0112785,LipidMAPS=LMGP03010786,BLEXP=BLEXPDB00052925896",0.2454,0.2416,0.3423,0.2538,0.3079,0.3517,0.3204,0.2353,0.2478,0.3049,0.2374,0.299,0.3367,0.2853,0.2452,0.312,0.2691,0.2953,0.2724,0.313,0.3004,0,0,0,0.373,0.3856,0.3867,0.393,0.4243,51.45125:10 52.81599:10 56.48248:56 62.24114:18 68.73611:11 71.08414:22 74.35494:63 76.41109:27 77.42004:28 80.41178:12 81.43282:24 86.52338:158 90.65479:17 94.6255:23 95.53703:74 95.95203:17 102.74808:13 103.26335:27 105.06818:22 113.66696:12 123.06566:22 130.43707:17 139.47169:22 143.91135:26 159.22963:18 166.08215:11 167.9519:38 169.15067:62 183.61104:79 186.1385:61 195.57834:45 205.98781:34 213.71118:26 218.70927:17 223.19414:19 236.03786:31 239.37282:13 243.82605:11 254.00723:30 263.56711:16 265.93549:13 276.28711:44 277.20642:12 285.54916:14 292.79514:22 294.98184:21 295.69864:13 296.57852:103 301.21716:32 303.58392:24 311.38693:240 313.86417:233 325.67862:29 361.43942:11 366.2131:22 383.15253:11 383.73093:22 384.99084:37 390.65103:47 391.17484:78 396.72067:13 414.39429:16 414.42856:18 417.49698:34 433.66589:20 466.82559:44 476.56635:24 491.98273:60 497.64929:19 504.17731:53 509.00244:30 516.28979:128 536.68317:22 540.44159:198 543.96783:37 554.94104:16 570.5506:68 574.29974:22 596.09204:16 624.51959:19 625.36121:26 669.2879:11 680.0943:22 691.2251:17 691.35059:46 693.93219:17 694.85736:13 714.73212:22 736.67834:11 752.65967:14 755.56122:17 764.76117:35 766.36047:14 774.88617:14 791.55811:118 807.20453:55 812.52307:1959 812.70776:46 813.06049:36 813.28564:30 813.52277:328 813.77972:86 813.94189:26 814.06024:63 814.19873:49 814.53589:34 814.99255:22 870.85809:18 872.25269:88 873.5683:24 878.18024:36 880.58362:43 880.67053:40 880.73236:13 885.76764:44 886.41632:184 886.56024:607 886.70441:16 886.86761:26 886.95282:15
159,neg_1538,Simple ID,Other possible annotated peaks for this cluster.,2,neg,1538,10.313,888.5752,[M+Cl]-,generic,C44H88NO12P,IPC 18:0;3/20:0;0,4.8678,4.8678,Unknown,3,81,888.5752,[M+Cl]-,853.6044139,-0.0013849,2.681,Phosphosphingolipids,RMQFEINHZRPOBB-ITWNTAFHSA-N,O=C(NC(COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)C(O)C(O)CCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCCC,"YMDB=YMDB01138,LipidMAPS=LMSP03030014",1.6837,1.5984,1.7706,1.7286,1.6803,1.9032,1.7506,1.445,1.4636,1.6148,1.5108,1.4967,1.5726,1.7784,1.717,1.7768,1.6612,1.9141,1.6047,1.9284,1.7106,0,0,0,1.7412,1.7885,1.9274,1.9037,1.9126,50.39828:19 53.46455:29 59.01461:71 59.45188:140 62.75951:16 69.99409:11 78.95877:166 89.13828:46 126.29839:86 126.52409:24 133.36208:15 147.58562:74 157.16115:56 160.62602:49 180.6776:15 180.7847:25 182.5462:39 191.17462:161 194.65443:44 217.00018:92 229.19572:83 236.81752:47 242.1366:40 246.38031:118 267.94812:50 279.23288:1153 279.29172:10 280.05865:68 280.23596:96 281.66272:66 283.24338:435 290.24249:45 303.22787:23 305.89682:18 325.43213:85 325.46457:11 327.22992:314 331.58777:30 362.70212:11 381.09967:28 407.88052:22 412.10345:27 412.5477:36 427.35492:25 467.34308:50 474.0065:65 476.64526:172 490.12518:36 493.78705:17 504.30756:22 505.60406:16 510.90179:107 515.22882:25 558.56512:57 592.41101:37 603.52618:56 604.06:43 645.43347:52 657.50366:18 809.55371:50 811.79053:23 812.86963:19 814.53912:4754 814.65448:90 814.69397:18 814.75433:42 814.83282:75 814.92902:55 815.0473:32 815.10986:66 815.26935:71 815.32751:43 815.53723:879 815.74194:37 815.83582:20 815.89728:21 816.021:22 829.49603:74 830.50128:51 840.28937:57 888.58301:237
160,neg_1541,Unknown compound,,1,neg,1541,11.084,890.59155,[M+Cl]-,,,,,,,,,,,,,,,,,,0.704,0.8488,1.109,0.8981,0.9736,1.0192,0.9221,0.6379,0.6301,0.9465,0.8915,0.6262,0.9551,0.9614,0.8556,0.9035,0.8329,1.0406,0.8491,0.9907,0.9666,0,0,0.0291,0.8892,0.8063,1.0016,0.9716,0.9912,68.85934:22 85.73231:26 96.92458:15 132.06088:20 175.75887:25 205.19505:27 218.55914:18 260.24304:241 279.23425:14 279.44919:30 294.67676:33 301.21683:150 301.87634:14 303.23099:880 303.5484:25 303.70889:12 304.23898:270 304.28763:10 305.24817:522 305.29489:13 329.24667:123 375.44763:49 436.41934:57 449.37302:25 508.31842:200 512.31488:29 530.32104:48 531.02655:40 543.37494:13 755.01733:70 778.01721:56 793.55841:56 793.62109:11 799.61871:34 800.61035:46 811.94879:24 812.85754:26 813.59235:62 815.20044:54 816.41205:201 816.50775:151 816.55438:4047 816.70819:14 816.78632:18 816.82947:45 816.89581:69 816.95679:53 817.14246:19 817.19495:70 817.23669:11 817.3681:26 817.50427:63 817.55334:797 817.73163:10 817.82825:34 817.91675:47 817.96051:22 818.09998:56 818.2384:14 818.58655:19 830.64343:15 833.17572:15 835.33911:23 851.49609:57 890.67126:13
161,neg_1545,Simple ID,,4,neg,1545,12.719,892.60596,[M+CH3COONa-H]-,generic,Spectral DB search,PC 40:6|PC 18:0_22:6,8.2119,8.2119,Unknown,3,198,892.606,[M+CH3COONa-H]-,-1,0,5,PC,FAUYAENFVCNTAL-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCCCCCCCCCC,,5.2603,4.9283,5.3109,5.4503,6.1481,5.6957,5.4103,4.4582,4.9345,5.8574,5.1575,4.7442,5.1746,6.1309,5.7184,5.8366,5.6497,5.7205,5.4459,5.7466,5.4515,0.083,0.1278,0.0631,6.2415,6.4552,7.189,7.4077,7.5688,50.409:32 54.44489:33 59.01432:377 59.19408:29 60.07952:11 65.44946:45 68.77877:35 69.34807:258 69.37101:31 84.45046:32 85.94006:36 93.07025:103 94.24154:22 96.01851:199 120.65179:22 123.13837:23 137.13315:32 140.72998:30 144.6031:58 151.65916:19 158.97409:99 159.49725:83 165.46504:24 166.651:17 167.36519:66 167.86621:21 168.04218:281 168.08537:18 168.52734:19 191.63541:15 195.02818:77 198.92561:13 201.18471:10 211.27364:33 224.06964:182 224.10526:13 233.10437:21 238.53259:22 240.86226:35 241.21393:104 248.04428:46 249.33415:15 267.95215:107 281.42307:26 282.40137:46 283.26175:1943 283.3291:14 283.35632:23 283.4437:14 283.50653:31 283.53116:13 283.67722:12 283.81375:48 284.24048:45 284.35767:16 304.50067:39 315.7749:12 318.5412:260 318.59137:21 325.16101:22 325.27039:31 325.48337:18 326.09818:22 326.60126:87 327.00259:14 327.23184:3305 327.34839:25 327.39099:20 327.44626:29 327.48672:17 327.54333:37 327.62512:15 327.68152:30 327.69449:34 327.73282:35 327.84714:53 327.94611:16 328.23404:176 328.42862:13 332.32013:25 332.83582:28 339.5585:27 340.40561:106 353.5936:59 365.66486:19 373.42462:19 373.98901:15 382.52127:155 386.92178:23 392.19861:13 392.72244:28 410.9021:43 417.13562:37 419.2518:38 435.41077:19 437.26312:31 438.65991:75 438.91052:79 440.58368:95 490.32019:65 490.37274:23 490.54153:43 507.31262:262 508.34177:435 508.4126:34 508.48117:13 508.86908:10 509.34256:266 511.39066:50 519.64355:20 534.27747:33 552.30859:22 557.72137:90 617.98358:192 641.66437:34 644.53455:84 700.98401:48 721.05884:19 725.19611:15 747.50067:83 770.2605:59 773.51337:14 803.5556:30 809.04834:102 813.0401:11 813.11078:32 813.23907:29 813.29443:30 813.46558:13 813.64398:17 813.81256:16 813.98462:95 814.06384:23 814.15009:49 814.25873:27 814.27863:42 814.57953:12 814.70447:68 816.31311:10 817.42566:28 817.73621:54 818.32294:69 818.57031:13139 818.68842:227 818.76477:108 818.84686:126 818.914:57 818.95764:50 818.99866:69 819.09949:87 819.18439:120 819.23663:121 819.27271:67 819.34351:33 819.40454:58 819.46625:87 819.57434:2039 819.69012:92 819.74023:75 819.84418:87 819.89191:74 819.94171:14 820.00098:43 820.11786:47 820.16064:13 820.19055:30 820.26874:19 820.31641:13 820.36456:53 820.46155:155 820.49945:93 820.60883:41 820.65869:25 820.7182:17 820.78784:16 820.86481:46 820.9173:20 820.96124:22 821.02783:13 821.09656:19 821.41687:146 821.5249:18 821.70422:11 821.91382:30 822.05298:14 822.08295:13 825.20642:35 825.73438:28 833.53076:176 833.88409:13 834.60303:30 834.74048:65 835.18372:30 842.77466:84 892.4516:34 892.60443:533 892.70776:11 892.94666:20
162,neg_1546,Unknown compound,,1,neg,1546,11.632,894.54578,[M-H]-,,,,,,,,,,,,,,,,,,0.1261,0.1416,0.1903,0.2115,0.2166,0.2042,0.1996,0.1102,0.1381,0.1876,0.1452,0.1297,0.1846,0.1951,0.1848,0.1628,0.191,0.2079,0.1616,0.1798,0.1652,0,0,0,0.1679,0.1906,0.1999,0.2194,0.2346,51.03609:55 52.77083:19 57.89795:12 69.29086:18 73.09304:12 76.87279:21 78.14961:57 87.35152:28 98.7976:12 99.70152:83 112.3138:52 112.98466:464 122.5947:11 128.08913:32 134.29034:20 142.02962:35 162.88794:27 164.61063:17 173.02795:66 175.21535:22 182.89342:30 196.75423:27 200.86116:16 207.38068:48 210.05199:21 222.10857:49 229.04044:61 231.57779:18 241.93779:159 256.71362:21 262.543:56 270.76062:15 271.7348:44 279.82657:25 293.67911:12 299.7572:111 300.93155:16 301.26758:40 308.71069:46 386.07465:24 406.70798:18 420.95218:44 431.79407:20 438.85367:108 449.51981:34 486.11368:98 497.14316:17 505.00882:15 506.77649:95 524.84326:79 548.08337:29 566.37115:49 573.64069:142 580.61194:86 605.79834:68 615.38055:132 621.82733:70 642.25665:44 652.04364:16 709.10162:38 721.27582:10 721.47241:16 722.45514:22 766.53101:69 780.54309:36 795.10004:60 813.12482:28 819.55292:49 820.55713:22 821.38049:76 833.66986:27 876.72791:109 893.60822:31 894.46027:86 894.54474:724 894.70984:57 894.85645:17
